,Date,Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,WHO Region
10629,2020-03-18,Spain,13910,623,1081,12206,2162,90,53,Europe
10665,2020-03-19,Argentina,97,3,3,91,18,1,0,Americas
10694,2020-03-19,Chile,265,0,0,265,0,0,0,Americas
10710,2020-03-19,Ecuador,199,3,0,196,88,1,0,Americas
10770,2020-03-19,Mexico,164,1,4,159,46,1,0,Americas
10816,2020-03-19,Spain,17963,830,1107,16026,4053,207,26,Europe
10852,2020-03-20,Argentina,128,3,3,122,31,0,0,Americas
10881,2020-03-20,Chile,461,0,6,455,196,0,6,Americas
10897,2020-03-20,Ecuador,367,5,0,362,168,2,0,Americas
10957,2020-03-20,Mexico,203,2,4,197,39,1,0,Americas
11003,2020-03-20,Spain,20410,1043,1588,17779,2447,213,481,Europe
11039,2020-03-21,Argentina,158,4,3,151,30,1,0,Americas
11068,2020-03-21,Chile,592,0,6,586,131,0,0,Americas
11084,2020-03-21,Ecuador,506,7,3,496,139,2,3,Americas
11144,2020-03-21,Mexico,251,2,4,245,48,0,0,Americas
11190,2020-03-21,Spain,25374,1375,2125,21874,4964,332,537,Europe
11226,2020-03-22,Argentina,266,4,3,259,108,0,0,Americas
11255,2020-03-22,Chile,687,1,8,678,95,1,2,Americas
11271,2020-03-22,Ecuador,789,14,3,772,283,7,0,Americas
11331,2020-03-22,Mexico,316,3,4,309,65,1,0,Americas
11377,2020-03-22,Spain,28768,1772,2575,24421,3394,397,450,Europe
11413,2020-03-23,Argentina,301,4,3,294,35,0,0,Americas
11442,2020-03-23,Chile,801,2,8,791,114,1,0,Americas
11458,2020-03-23,Ecuador,981,18,3,960,192,4,0,Americas
11518,2020-03-23,Mexico,367,4,4,359,51,1,0,Americas
11564,2020-03-23,Spain,35136,2311,2575,30250,6368,539,0,Europe
11600,2020-03-24,Argentina,387,6,52,329,86,2,49,Americas
11629,2020-03-24,Chile,977,2,17,958,176,0,9,Americas
11645,2020-03-24,Ecuador,1082,27,3,1052,101,9,0,Americas
11705,2020-03-24,Mexico,405,5,4,396,38,1,0,Americas
11751,2020-03-24,Spain,39885,2808,3794,33283,4749,497,1219,Europe
11787,2020-03-25,Argentina,387,8,52,327,0,2,0,Americas
11816,2020-03-25,Chile,1197,3,22,1172,220,1,5,Americas
11832,2020-03-25,Ecuador,1173,28,3,1142,91,1,0,Americas
11892,2020-03-25,Mexico,475,6,4,465,70,1,0,Americas
11938,2020-03-25,Spain,49515,3647,5367,40501,9630,839,1573,Europe
11974,2020-03-26,Argentina,502,9,63,430,115,1,11,Americas
12003,2020-03-26,Chile,1361,4,22,1335,164,1,0,Americas
12019,2020-03-26,Ecuador,1403,34,3,1366,230,6,0,Americas
12079,2020-03-26,Mexico,585,8,4,573,110,2,0,Americas
12125,2020-03-26,Spain,57786,4365,7015,46406,8271,718,1648,Europe
12161,2020-03-27,Argentina,589,13,72,504,87,4,9,Americas
12190,2020-03-27,Chile,1665,5,43,1617,304,1,21,Americas
12206,2020-03-27,Ecuador,1595,36,3,1556,192,2,0,Americas
12266,2020-03-27,Mexico,717,12,4,701,132,4,0,Americas
12312,2020-03-27,Spain,65719,5138,9357,51224,7933,773,2342,Europe
12348,2020-03-28,Argentina,690,18,72,600,101,5,0,Americas
12377,2020-03-28,Chile,2015,6,61,1948,350,1,18,Americas
12393,2020-03-28,Ecuador,1823,48,3,1772,228,12,0,Americas
12453,2020-03-28,Mexico,848,16,4,828,131,4,0,Americas
12499,2020-03-28,Spain,73235,5982,12285,54968,7516,844,2928,Europe
12535,2020-03-29,Argentina,745,19,72,654,55,1,0,Americas
12564,2020-03-29,Chile,2245,7,75,2163,230,1,14,Americas
12580,2020-03-29,Ecuador,1924,58,3,1863,101,10,0,Americas
12640,2020-03-29,Mexico,993,20,4,969,145,4,0,Americas
12686,2020-03-29,Spain,80110,6803,14709,58598,6875,821,2424,Europe
12722,2020-03-30,Argentina,820,23,228,569,75,4,156,Americas
12751,2020-03-30,Chile,2555,8,156,2391,310,1,81,Americas
12767,2020-03-30,Ecuador,1962,60,3,1899,38,2,0,Americas
12827,2020-03-30,Mexico,1094,28,35,1031,101,8,31,Americas
12873,2020-03-30,Spain,87956,7716,16780,63460,7846,913,2071,Europe
12909,2020-03-31,Argentina,1054,27,240,787,234,4,12,Americas
12938,2020-03-31,Chile,2844,12,156,2676,289,4,0,Americas
12954,2020-03-31,Ecuador,2240,75,54,2111,278,15,51,Americas
13014,2020-03-31,Mexico,1215,29,35,1151,121,1,0,Americas
13060,2020-03-31,Spain,95923,8464,19259,68200,7967,748,2479,Europe
13096,2020-04-01,Argentina,1054,28,248,778,0,1,8,Americas
13125,2020-04-01,Chile,3137,16,234,2887,293,4,78,Americas
13141,2020-04-01,Ecuador,2748,93,58,2597,508,18,4,Americas
13201,2020-04-01,Mexico,1378,37,35,1306,163,8,0,Americas
13247,2020-04-01,Spain,104118,9387,22647,72084,8195,923,3388,Europe
13283,2020-04-02,Argentina,1133,36,256,841,79,8,8,Americas
13312,2020-04-02,Chile,3510,18,335,3157,373,2,101,Americas
13328,2020-04-02,Ecuador,3163,120,65,2978,415,27,7,Americas
13388,2020-04-02,Mexico,1510,50,35,1425,132,13,0,Americas
13434,2020-04-02,Spain,112065,10348,26743,74974,7947,961,4096,Europe
13470,2020-04-03,Argentina,1265,39,266,960,132,3,10,Americas
13499,2020-04-03,Chile,3843,22,427,3394,333,4,92,Americas
13515,2020-04-03,Ecuador,3368,145,65,3158,205,25,0,Americas
13575,2020-04-03,Mexico,1688,60,633,995,178,10,598,Americas
13621,2020-04-03,Spain,119199,11198,30513,77488,7134,850,3770,Europe
13657,2020-04-04,Argentina,1451,43,279,1129,186,4,13,Americas
13686,2020-04-04,Chile,4355,27,528,3800,512,5,101,Americas
13702,2020-04-04,Ecuador,3465,172,100,3193,97,27,35,Americas
13762,2020-04-04,Mexico,1890,79,633,1178,202,19,0,Americas
13808,2020-04-04,Spain,126168,11947,34219,80002,6969,749,3706,Europe
13844,2020-04-05,Argentina,1451,44,280,1127,0,1,1,Americas
13873,2020-04-05,Chile,4665,34,618,4013,310,7,90,Americas
13889,2020-04-05,Ecuador,3646,180,100,3366,181,8,0,Americas
13949,2020-04-05,Mexico,2143,94,633,1416,253,15,0,Americas
13995,2020-04-05,Spain,131646,12641,38080,80925,5478,694,3861,Europe
14031,2020-04-06,Argentina,1554,48,325,1181,103,4,45,Americas
14060,2020-04-06,Chile,5009,37,728,4244,344,3,110,Americas
14076,2020-04-06,Ecuador,3747,191,100,3456,101,11,0,Americas
14136,2020-04-06,Mexico,2439,125,633,1681,296,31,0,Americas
14182,2020-04-06,Spain,136675,13341,40437,82897,5029,700,2357,Europe
14218,2020-04-07,Argentina,1628,56,338,1234,74,8,13,Americas
14247,2020-04-07,Chile,5310,43,898,4369,301,6,170,Americas
14263,2020-04-07,Ecuador,3747,191,100,3456,0,0,0,Americas
14323,2020-04-07,Mexico,2785,141,633,2011,346,16,0,Americas
14369,2020-04-07,Spain,141942,14045,43208,84689,5267,704,2771,Europe
14405,2020-04-08,Argentina,1715,63,358,1294,87,7,20,Americas
14434,2020-04-08,Chile,5740,48,1115,4577,430,5,217,Americas
14450,2020-04-08,Ecuador,4450,242,140,4068,703,51,40,Americas
14510,2020-04-08,Mexico,3181,174,633,2374,396,33,0,Americas
14556,2020-04-08,Spain,148220,14792,48021,85407,6278,747,4813,Europe
14592,2020-04-09,Argentina,1795,72,365,1358,80,9,7,Americas
14621,2020-04-09,Chile,6166,57,1274,4835,426,9,159,Americas
14637,2020-04-09,Ecuador,4965,272,339,4354,515,30,199,Americas
14697,2020-04-09,Mexico,3441,194,633,2614,260,20,0,Americas
14743,2020-04-09,Spain,153222,15447,52165,85610,5002,655,4144,Europe
14779,2020-04-10,Argentina,1975,82,375,1518,180,10,10,Americas
14808,2020-04-10,Chile,6695,65,1571,5059,529,8,297,Americas
14824,2020-04-10,Ecuador,7161,297,368,6496,2196,25,29,Americas
14884,2020-04-10,Mexico,3844,233,633,2978,403,39,0,Americas
14930,2020-04-10,Spain,158273,16081,55668,86524,5051,634,3503,Europe
14966,2020-04-11,Argentina,1975,83,440,1452,0,1,65,Americas
14995,2020-04-11,Chile,7366,73,1864,5429,671,8,293,Americas
15011,2020-04-11,Ecuador,7257,315,411,6531,96,18,43,Americas
15071,2020-04-11,Mexico,4219,273,633,3313,375,40,0,Americas
15117,2020-04-11,Spain,163027,16606,59109,87312,4754,525,3441,Europe
15153,2020-04-12,Argentina,2142,90,468,1584,167,7,28,Americas
15182,2020-04-12,Chile,7652,80,2059,5513,286,7,195,Americas
15198,2020-04-12,Ecuador,7466,333,501,6632,209,18,90,Americas
15258,2020-04-12,Mexico,4661,296,1772,2593,442,23,1139,Americas
